
Date,Campaign Name,Channel,Impressions,Clicks,Conversions,Revenue
2026-01-01,New Year Promo,Facebook,1000,50,5,150
2026-01-02,Winter Sale,Instagram,2000,100,10,300
2026-01-03,Email Blast,Email,500,25,2,75
2026-01-04,Product Launch,Google Ads,1500,60,8,240
2026-01-05,Referral Program,LinkedIn,800,40,3,120
2026-01-06,Flash Sale,Twitter,1200,70,6,180
2026-01-07,Weekend Offer,Facebook,1800,90,12,360
2026-01-08,Winter Push,Facebook,1500,80,5,200
2026-01-09,Retargeting Boost,Instagram,2200,120,8,320
2026-01-10,Email Promo 2,Email,600,30,2,90
2026-01-11,Search Expansion,Google Ads,2000,110,7,310
2026-01-12,Referral Boost,LinkedIn,1000,50,3,150
2026-01-13,Flash Sale 2,Twitter,1600,90,4,210
2026-01-14,Weekend Push,Facebook,2100,120,6,420
